sku_id,date,type,length_days
FRZ-001,2025-06-07,stockout,3
FRZ-001,2025-06-10,delivery_surge,2
FRZ-001,2024-05-28,stockout,2
FRZ-001,2024-05-30,delivery_surge,2
FRZ-001,2025-03-06,stockout,2
FRZ-001,2025-03-08,delivery_surge,2
FRZ-001,2025-01-23,stockout,1
FRZ-001,2025-01-24,delivery_surge,2
FRZ-001,2026-01-17,stockout,2
FRZ-001,2026-01-19,delivery_surge,2
FRZ-001,2025-10-11,stockout,3
FRZ-001,2025-10-14,delivery_surge,2
FRZ-001,2026-05-04,stockout,1
FRZ-001,2026-05-05,delivery_surge,2
FRZ-001,2024-07-17,stockout,1
FRZ-001,2024-07-18,delivery_surge,2
FRZ-001,2025-03-05,promo_spike,3
FRZ-001,2024-08-22,promo_spike,3
FRZ-001,2026-01-12,promo_spike,3
FRZ-001,2026-05-04,promo_spike,3
FRZ-001,2025-11-12,promo_spike,3
FRZ-001,2024-07-17,promo_spike,3
FRZ-001,2025-10-05,promo_spike,3
FRZ-002,2025-03-27,stockout,1
FRZ-002,2025-03-28,delivery_surge,2
FRZ-002,2024-05-27,stockout,1
FRZ-002,2024-05-28,delivery_surge,2
FRZ-002,2024-05-26,stockout,1
FRZ-002,2024-05-27,delivery_surge,2
FRZ-002,2025-01-14,stockout,2
FRZ-002,2025-01-16,delivery_surge,2
FRZ-002,2025-06-15,stockout,2
FRZ-002,2025-06-17,delivery_surge,2
FRZ-002,2024-11-01,stockout,1
FRZ-002,2024-11-02,delivery_surge,2
FRZ-002,2025-02-28,stockout,3
FRZ-002,2025-03-03,delivery_surge,2
FRZ-002,2024-11-21,promo_spike,3
FRZ-002,2026-04-11,promo_spike,3
FRZ-002,2025-10-31,promo_spike,3
FRZ-002,2025-09-24,promo_spike,3
FRZ-002,2025-05-18,promo_spike,3
FRZ-002,2025-07-01,promo_spike,3
FRZ-002,2025-01-05,promo_spike,3
FRZ-002,2025-01-04,promo_spike,3
FRZ-003,2025-06-22,stockout,2
FRZ-003,2025-06-24,delivery_surge,2
FRZ-003,2026-05-01,stockout,2
FRZ-003,2026-05-03,delivery_surge,2
FRZ-003,2024-11-26,stockout,1
FRZ-003,2024-11-27,delivery_surge,2
FRZ-003,2024-12-29,stockout,3
FRZ-003,2025-01-01,delivery_surge,2
FRZ-003,2025-01-02,stockout,3
FRZ-003,2025-01-05,delivery_surge,2
FRZ-003,2025-03-06,stockout,2
FRZ-003,2025-03-08,delivery_surge,2
FRZ-003,2024-09-04,stockout,3
FRZ-003,2024-09-07,delivery_surge,2
FRZ-003,2025-01-25,stockout,2
FRZ-003,2025-01-27,delivery_surge,2
FRZ-003,2026-04-02,stockout,3
FRZ-003,2026-04-05,delivery_surge,2
FRZ-003,2026-03-24,stockout,3
FRZ-003,2026-03-27,delivery_surge,2
FRZ-003,2025-04-04,promo_spike,3
FRZ-003,2025-05-18,promo_spike,3
FRZ-003,2026-05-06,promo_spike,3
FRZ-003,2025-04-26,promo_spike,3
FRZ-003,2026-03-05,promo_spike,3
FRZ-003,2025-11-28,promo_spike,3
FRZ-003,2024-10-14,promo_spike,3
FRZ-003,2024-09-04,promo_spike,3
FRZ-004,2024-06-30,stockout,2
FRZ-004,2024-07-02,delivery_surge,2
FRZ-004,2024-07-02,stockout,2
FRZ-004,2024-07-04,delivery_surge,2
FRZ-004,2024-08-29,stockout,1
FRZ-004,2024-08-30,delivery_surge,2
FRZ-004,2025-10-05,stockout,1
FRZ-004,2025-10-06,delivery_surge,2
FRZ-004,2025-01-04,stockout,1
FRZ-004,2025-01-05,delivery_surge,2
FRZ-004,2025-11-24,stockout,2
FRZ-004,2025-11-26,delivery_surge,2
FRZ-004,2025-06-02,stockout,3
FRZ-004,2025-06-05,delivery_surge,2
FRZ-004,2025-03-27,promo_spike,3
FRZ-004,2024-05-28,promo_spike,3
FRZ-004,2024-11-17,promo_spike,3
FRZ-004,2024-06-29,promo_spike,3
FRZ-004,2024-07-30,promo_spike,3
FRZ-004,2026-01-20,promo_spike,3
FRZ-004,2024-11-17,promo_spike,3
FRZ-004,2025-12-11,promo_spike,3
