date,sku_id,sku_name,zone,demand
2024-05-18,FRZ-001,Findus Épinards 1kg,FROZEN,25
2024-05-19,FRZ-001,Findus Épinards 1kg,FROZEN,13
2024-05-20,FRZ-001,Findus Épinards 1kg,FROZEN,15
2024-05-21,FRZ-001,Findus Épinards 1kg,FROZEN,16
2024-05-22,FRZ-001,Findus Épinards 1kg,FROZEN,18
2024-05-23,FRZ-001,Findus Épinards 1kg,FROZEN,23
2024-05-24,FRZ-001,Findus Épinards 1kg,FROZEN,19
2024-05-25,FRZ-001,Findus Épinards 1kg,FROZEN,35
2024-05-26,FRZ-001,Findus Épinards 1kg,FROZEN,10
2024-05-27,FRZ-001,Findus Épinards 1kg,FROZEN,10
2024-05-28,FRZ-001,Findus Épinards 1kg,FROZEN,0
2024-05-29,FRZ-001,Findus Épinards 1kg,FROZEN,0
2024-05-30,FRZ-001,Findus Épinards 1kg,FROZEN,21
2024-05-31,FRZ-001,Findus Épinards 1kg,FROZEN,42
2024-06-01,FRZ-001,Findus Épinards 1kg,FROZEN,25
2024-06-02,FRZ-001,Findus Épinards 1kg,FROZEN,11
2024-06-03,FRZ-001,Findus Épinards 1kg,FROZEN,10
2024-06-04,FRZ-001,Findus Épinards 1kg,FROZEN,20
2024-06-05,FRZ-001,Findus Épinards 1kg,FROZEN,16
2024-06-06,FRZ-001,Findus Épinards 1kg,FROZEN,19
2024-06-07,FRZ-001,Findus Épinards 1kg,FROZEN,22
2024-06-08,FRZ-001,Findus Épinards 1kg,FROZEN,26
2024-06-09,FRZ-001,Findus Épinards 1kg,FROZEN,11
2024-06-10,FRZ-001,Findus Épinards 1kg,FROZEN,16
2024-06-11,FRZ-001,Findus Épinards 1kg,FROZEN,16
2024-06-12,FRZ-001,Findus Épinards 1kg,FROZEN,18
2024-06-13,FRZ-001,Findus Épinards 1kg,FROZEN,19
2024-06-14,FRZ-001,Findus Épinards 1kg,FROZEN,31
2024-06-15,FRZ-001,Findus Épinards 1kg,FROZEN,35
2024-06-16,FRZ-001,Findus Épinards 1kg,FROZEN,10
2024-06-17,FRZ-001,Findus Épinards 1kg,FROZEN,12
2024-06-18,FRZ-001,Findus Épinards 1kg,FROZEN,21
2024-06-19,FRZ-001,Findus Épinards 1kg,FROZEN,18
2024-06-20,FRZ-001,Findus Épinards 1kg,FROZEN,16
2024-06-21,FRZ-001,Findus Épinards 1kg,FROZEN,30
2024-06-22,FRZ-001,Findus Épinards 1kg,FROZEN,25
2024-06-23,FRZ-001,Findus Épinards 1kg,FROZEN,10
2024-06-24,FRZ-001,Findus Épinards 1kg,FROZEN,19
2024-06-25,FRZ-001,Findus Épinards 1kg,FROZEN,15
2024-06-26,FRZ-001,Findus Épinards 1kg,FROZEN,20
2024-06-27,FRZ-001,Findus Épinards 1kg,FROZEN,18
2024-06-28,FRZ-001,Findus Épinards 1kg,FROZEN,26
2024-06-29,FRZ-001,Findus Épinards 1kg,FROZEN,30
2024-06-30,FRZ-001,Findus Épinards 1kg,FROZEN,10
2024-07-01,FRZ-001,Findus Épinards 1kg,FROZEN,15
2024-07-02,FRZ-001,Findus Épinards 1kg,FROZEN,14
2024-07-03,FRZ-001,Findus Épinards 1kg,FROZEN,14
2024-07-04,FRZ-001,Findus Épinards 1kg,FROZEN,14
2024-07-05,FRZ-001,Findus Épinards 1kg,FROZEN,22
2024-07-06,FRZ-001,Findus Épinards 1kg,FROZEN,25
2024-07-07,FRZ-001,Findus Épinards 1kg,FROZEN,9
2024-07-08,FRZ-001,Findus Épinards 1kg,FROZEN,12
2024-07-09,FRZ-001,Findus Épinards 1kg,FROZEN,14
2024-07-10,FRZ-001,Findus Épinards 1kg,FROZEN,15
2024-07-11,FRZ-001,Findus Épinards 1kg,FROZEN,16
2024-07-12,FRZ-001,Findus Épinards 1kg,FROZEN,25
2024-07-13,FRZ-001,Findus Épinards 1kg,FROZEN,30
2024-07-14,FRZ-001,Findus Épinards 1kg,FROZEN,6
2024-07-15,FRZ-001,Findus Épinards 1kg,FROZEN,11
2024-07-16,FRZ-001,Findus Épinards 1kg,FROZEN,12
2024-07-17,FRZ-001,Findus Épinards 1kg,FROZEN,0
2024-07-18,FRZ-001,Findus Épinards 1kg,FROZEN,57
2024-07-19,FRZ-001,Findus Épinards 1kg,FROZEN,64
2024-07-20,FRZ-001,Findus Épinards 1kg,FROZEN,29
2024-07-21,FRZ-001,Findus Épinards 1kg,FROZEN,10
2024-07-22,FRZ-001,Findus Épinards 1kg,FROZEN,14
2024-07-23,FRZ-001,Findus Épinards 1kg,FROZEN,16
2024-07-24,FRZ-001,Findus Épinards 1kg,FROZEN,13
2024-07-25,FRZ-001,Findus Épinards 1kg,FROZEN,20
2024-07-26,FRZ-001,Findus Épinards 1kg,FROZEN,19
2024-07-27,FRZ-001,Findus Épinards 1kg,FROZEN,26
2024-07-28,FRZ-001,Findus Épinards 1kg,FROZEN,9
2024-07-29,FRZ-001,Findus Épinards 1kg,FROZEN,10
2024-07-30,FRZ-001,Findus Épinards 1kg,FROZEN,13
